date,repositories,stars,watchers,contributors,forks,reach,tags,releases
2026-04-28,GooFit/AmpGen,9,12,8,21,35,8,5
2026-04-28,GooFit/GooFit,144,16,19,41,178,17,14
2026-04-28,diana-hep/excursion,22,3,3,8,26,1,1
2026-04-28,diana-hep/madminer,93,7,13,45,126,50,49
2026-04-28,gordonwatts/hep_tables,2,1,1,0,3,0,0
2026-04-28,iris-hep/adl-benchmarks-index,15,8,9,9,26,1,1
2026-04-28,iris-hep/func_adl,9,6,7,4,17,83,76
2026-04-28,iris-hep/func_adl_servicex,0,6,4,3,9,32,31
2026-04-28,iris-hep/func_adl_uproot,0,5,1,0,5,37,16
2026-04-28,iris-hep/func_adl_xAOD,0,6,6,6,11,48,48
2026-04-28,iris-hep/qastle,7,2,2,5,13,22,11
2026-04-28,reanahub/reana,148,17,21,62,201,44,44
2026-04-28,scailfin/madminer-workflow,5,2,2,4,6,0,0
2026-04-28,scikit-hep/awkward-0.x,214,11,17,39,249,100,100
2026-04-28,scikit-hep/awkward-1.0,957,17,55,121,1035,305,274
2026-04-28,scikit-hep/boost-histogram,162,10,21,30,185,37,37
2026-04-28,scikit-hep/cabinetry,33,3,10,27,54,25,21
2026-04-28,scikit-hep/cookie,393,11,49,72,430,26,26
2026-04-28,scikit-hep/decaylanguage,44,4,12,17,55,55,55
2026-04-28,scikit-hep/fastjet,28,7,15,20,46,34,34
2026-04-28,scikit-hep/hist,136,7,23,31,158,32,32
2026-04-28,scikit-hep/mplhep,217,4,43,73,274,179,61
2026-04-28,scikit-hep/particle,164,5,15,28,184,54,54
2026-04-28,scikit-hep/pyhf,299,7,34,97,365,54,39
2026-04-28,scikit-hep/uhi,20,4,7,4,25,13,13
2026-04-28,scikit-hep/uproot3,314,21,25,66,369,209,204
2026-04-28,scikit-hep/uproot4,264,17,65,94,337,150,150
2026-04-28,scikit-hep/vector,99,9,26,37,126,29,29
2026-04-28,All IRIS-HEP Analysis Systems,2604,133,316,686,3091,1645,1425
2026-04-28,root-project/root,3188,119,315,1516,4391,469,54
